dataset,selector,accuracy,train_transform_time_s,feature_selection_time_s,training_time_s,test_transform_time_s,inference_time_s,total_time_s,retained_features,memory_delta_mb,status,error
Adiac,chi2,0.6956521739130435,5.467313900124282,0.053159600123763084,0.06297970004379749,5.938420500140637,0.0011412999592721462,14.157866700086743,500,217.51171875,ok,
Adiac,anova_f,0.659846547314578,6.455815899884328,0.18226950010284781,0.09879040019586682,18.885421999963,0.003996500046923757,28.68086909991689,500,220.6015625,ok,
Adiac,mutual_info,0.6547314578005116,22.218182999873534,2012.1058386999648,0.09369669994339347,13.878609399776906,0.0013776000123471022,2053.6811053000856,500,165.38671875,ok,
Adiac,random,0.6879795396419437,22.611151299905032,0.0022740999702364206,0.09241969999857247,17.301929699955508,0.0013109000865370035,45.22140450007282,500,216.54296875,ok,
ArrowHead,chi2,0.7542857142857143,2.7243413999676704,0.021241199923679233,0.004171799868345261,13.477099400013685,0.0005355998873710632,21.434658200014383,500,85.88671875,ok,
ArrowHead,anova_f,0.7885714285714286,2.59183879988268,0.04056799993850291,0.00989730004221201,11.006812599953264,0.000529400072991848,18.060774100013077,500,87.484375,ok,
ArrowHead,mutual_info,0.7942857142857143,2.2070112000219524,83.05444350000471,0.007314200047403574,13.150461199926212,0.000516899861395359,102.69431299995631,500,84.84765625,ok,
ArrowHead,random,0.7885714285714286,2.9078410998918116,0.0005713000427931547,0.008068300085142255,15.202603500103578,0.0006566999945789576,24.072498199995607,500,84.88671875,ok,
Beef,chi2,0.6333333333333333,4.979349400149658,0.029380900086835027,0.006363800028339028,4.529787700157613,0.0005740998312830925,17.029447299893945,500,51.57421875,ok,
Beef,anova_f,0.7333333333333333,5.223085900070146,0.04248359985649586,0.007896399823948741,5.3390134000219405,0.0005548999179154634,16.95229179994203,500,54.44140625,ok,
Beef,mutual_info,0.7333333333333333,3.0474902000278234,1464.8918995999265,0.00705250003375113,3.531325399875641,0.0004300998989492655,1476.698917800095,500,52.2890625,ok,
Beef,random,0.8,2.9582245000638068,0.0005736998282372952,0.005656099878251553,2.7274925999809057,0.0004116999916732311,9.740607700077817,500,51.25390625,ok,
BeetleFly,chi2,0.8,2.7797562999185175,0.1369603001512587,0.00563589995726943,3.065552300075069,0.0002840000670403242,11.259247800102457,500,47.7578125,ok,
BeetleFly,anova_f,0.85,3.723840600112453,0.038005700102075934,0.004296599887311459,2.284692300017923,0.0004803999327123165,11.521473799832165,500,49.3125,ok,
BeetleFly,mutual_info,0.85,3.5695172001142055,82.96597080002539,0.006323300069198012,3.1578897999133915,0.0002874999772757292,96.6553094999399,500,47.11328125,ok,
BeetleFly,random,0.85,0.6702132001519203,0.0002351999282836914,0.0024216999299824238,0.6863514999859035,0.00025359983555972576,3.791046799859032,500,46.671875,ok,
BirdChicken,chi2,0.95,0.6886307999957353,0.03696880000643432,0.0023026999551802874,0.6905332999303937,0.0003120000474154949,3.821736100129783,500,47.734375,ok,
BirdChicken,anova_f,0.9,1.001644799951464,0.02062720013782382,0.002880800049751997,0.8265924998559058,0.0002457001246511936,4.574136799899861,500,48.953125,ok,
BirdChicken,mutual_info,0.95,0.8156116001773626,31.911432099994272,0.0025849000085145235,0.8309828999917954,0.00025669997557997704,36.25529589992948,500,47.64453125,ok,
BirdChicken,random,0.8,0.7920584001112729,0.00026190001517534256,0.0026231000665575266,0.8065566001459956,0.000359599944204092,4.305267800111324,500,46.74609375,ok,
Car,chi2,0.8333333333333334,2.691021300153807,0.01877589989453554,0.003477599937468767,2.7111998999025673,0.0003309999592602253,8.08402660000138,500,65.734375,ok,
Car,anova_f,0.8833333333333333,2.363025699974969,0.07251189998351038,0.0030664000660181046,2.3519490000326186,0.0008380000945180655,7.189463700167835,500,66.328125,ok,
Car,mutual_info,0.9,7.602396300062537,114.61627610004507,0.004974900046363473,8.184401399921626,0.00039369985461235046,136.07179259997793,500,65.6953125,ok,
Car,random,0.8833333333333333,11.370130100054666,0.0006227998528629541,0.006550299935042858,10.579085299978033,0.0004164001438766718,28.113088799873367,500,63.40625,ok,
CBF,chi2,0.9922222222222222,1.0155774999875575,0.014073600061237812,0.003987899981439114,31.01438460010104,0.0015984000638127327,37.072812899947166,500,250.74609375,ok,
CBF,anova_f,1.0,0.850231199990958,0.021164099918678403,0.0034457999281585217,20.50691180001013,0.001578599913045764,25.17049470008351,500,251.98046875,ok,
CBF,mutual_info,0.9955555555555555,0.29487899993546307,41.12780760019086,0.002562900073826313,9.445637499913573,0.0014804000966250896,55.71166520006955,500,251.859375,ok,
CBF,random,0.9955555555555555,0.3086149001028389,0.0003154999576508999,0.0033529000356793404,9.315126199973747,0.001256000017747283,12.182206499855965,500,248.890625,ok,
ChlorineConcentration,chi2,0.6072916666666667,6.240863899933174,0.046597099862992764,0.07331930007785559,85.28972769994289,0.004821400158107281,94.2489983998239,500,1042.22265625,ok,
ChlorineConcentration,anova_f,0.609375,5.378032699925825,0.12634620000608265,0.0732595999725163,76.88201220007613,0.0037595999892801046,84.7098250000272,500,1045.03515625,ok,
ChlorineConcentration,mutual_info,0.6744791666666666,6.107454000040889,111.3685413999483,0.10084230010397732,58.92518480005674,0.0038949998561292887,178.7479006999638,500,1041.03515625,ok,
ChlorineConcentration,random,0.6020833333333333,7.1497843998949975,0.003499999875202775,0.08514149999246001,117.5023644999601,0.003025899874046445,127.3132789998781,500,1040.81640625,ok,
CinCECGTorso,chi2,0.9471014492753623,4.526988400146365,0.009947599843144417,0.0026729998644441366,386.05948539986275,0.0023423999082297087,392.88166079996154,500,367.14453125,ok,
CinCECGTorso,anova_f,0.9521739130434783,17.52916939998977,0.0355236001778394,0.004849000135436654,531.4722587999422,0.0027765000704675913,553.5647223999258,500,368.37109375,ok,
CinCECGTorso,mutual_info,0.9637681159420289,24.403220399981365,482.3551519000903,0.008021000074222684,424.48198859998956,0.002299599815160036,938.4448490000796,500,365.9296875,ok,
